"id","t","n1","e1","h1","v1","ψ1","n2","e2","h2","v2","ψ2"
2,17,-2924.1083120000026,-0.0,538.8343434403724,134.35776600000014,0.0,1500.5325203455527,638.9191810408612,398.9033434403724,70.9398,152.769151
2,18,-2789.7505460000025,-0.0,538.8343434403724,133.70116400000015,0.0,1437.4549687839296,606.4587788093615,398.9033434403724,70.9398,153.45021899999998
2,19,-2656.0493820000024,-0.0,538.8343434403724,133.04456200000016,0.0,1373.996029744447,574.750447411711,398.9033434403724,70.9398,154.131287
2,20,-2523.0048200000024,-0.0,538.8343434403724,132.38796000000016,0.0,1310.164669735908,543.7986671155743,398.9033434403724,70.9398,154.812355
2,21,-2390.6168600000024,-0.0,538.8343434403724,131.73135800000017,0.0,1245.969907888795,513.6078112907979,398.9033434403724,70.9398,155.49342299999998
2,22,-2258.8855020000024,-0.0,538.8343434403724,131.07475600000018,0.0,1181.4208146808987,484.18214579147025,398.9033434403724,70.9398,156.174491
2,23,-2127.8107460000024,-0.0,538.8343434403724,130.4181540000002,0.0,1116.526510655696,455.5258283531717,398.9033434403724,70.9398,156.85555899999997
2,24,-1997.392592000002,-0.0,538.8343434403724,129.7615520000002,0.0,1051.2961651336498,427.6429080055022,398.9033434403724,70.9398,157.53662699999998
2,25,-1867.6310400000016,-0.0,538.8343434403724,129.1049500000002,0.0,985.7389949166202,400.53732449996977,398.9033434403724,70.9398,157.867
2,26,-1738.5260900000012,-0.0,538.8343434403724,128.4483480000002,0.0,920.0266219676251,373.81019847691584,398.9033434403724,70.9398,157.867
2,27,-1610.0777420000009,-0.0,538.8343434403724,127.7917460000002,0.0,854.3142490186302,347.0830724538619,398.9033434403724,70.9398,157.867
2,28,-1482.2859960000005,-0.0,538.8343434403724,127.1351440000002,0.0,788.6018760696352,320.355946430808,398.9033434403724,70.9398,157.867
2,29,-1355.1508520000002,-0.0,538.8343434403724,126.47854200000019,0.0,722.8895031206403,293.6288204077542,398.9033434403724,70.9398,157.867
2,30,-1228.67231,-0.0,538.8343434403724,125.82194000000018,0.0,657.1771301716454,266.90169438470036,398.9033434403724,70.9398,157.867
2,31,-1102.85037,-0.0,538.8343434403724,125.16533800000018,0.0,591.4647572226504,240.17456836164652,398.9033434403724,70.9398,157.867
2,32,-977.6850320000003,-0.0,538.8343434403724,124.50873600000017,0.0,525.7523842736555,213.4474423385926,398.9033434403724,70.9398,157.867
2,33,-853.1762960000005,-0.0,538.8343434403724,123.85213400000016,0.0,460.0400113246605,186.7203163155387,398.9033434403724,70.9398,157.867
2,34,-729.3241620000008,-0.0,538.8343434403724,123.19553200000016,0.0,394.3276383756655,159.9931902924848,398.9033434403724,70.9398,157.867
